"CustCode","CustInvoice","CustInvoiceDate","CustPO","DONo","DODate","DOTime","ItemNo","PartCode","ModelNo","CustLot","LotNo","DelQty","MarkLot","FromStation","SEPOperationCode","ToStation","EPJOperationCode","NextStation","MaterialPrice","Currency","ProductCode","ParentCode","PlatingSpec","Remark1","Remark2","Remark3"
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8088","A3457190","A3457190","4","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8960","A3460605","A3460605","22","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8960","A3460606","A3460606","22","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8960","A3461006","A3461006","22","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8960","A3461009","A3461009","22","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8078","A3461033","A3461033","12","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8078","A3461038","A3461038","12","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-004","2016-05-05","111710","COPPER FRAME","","B8037","P1025099","P1025099","21","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-005","2016-05-05","111711","CSSP PLUS PANEL","","B7953","A3456213","A3456213","20","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-005","2016-05-05","111711","CSSP PLUS PANEL","","B7959","A3456713","A3456713","19","","","","","","","","USD","","","","","",""
"1410","","","4503275496/650","160505-005","2016-05-05","111711","CSSP PLUS PANEL","","LN21G","P3036539","P3036539","6","","","","","","","","USD","","","","","",""
