"CustCode","CustInvoice","CustInvoiceDate","CustPO","DONo","DODate","DOTime","ItemNo","PartCode","ModelNo","CustLot","LotNo","DelQty","MarkLot","FromStation","SEPOperationCode","ToStation","EPJOperationCode","NextStation","MaterialPrice","Currency","ProductCode","ParentCode","PlatingSpec","Remark1","Remark2","Remark3"
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099406","4002099406","22820","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099409","4002099409","22780","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099410","4002099410","20600","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0272949QL","","","4003105178","4003105178","7410","","","20","","0040","","0.02686","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262904JL","","","4003111949","4003111949","11890","","","20","","0040","","0.01522","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262904JL","","","4003111952","4003111952","15720","","","20","","0040","","0.01522","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0272500KL","","","4003053921","4003053921","5090","","","20","","0040","","0.0244","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0272500NL","","","4003054761","4003054761","11410","","","20","","0040","","0.02148","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","40506670F","","","4003054827","4003054827","160","","","20","","0040","","0.7315","USD","JTSM","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0027280NL","","","4003007268","4003007268","10370","","","10","","0030","","0.00949","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","02435650L","","","4002949121","4002949121","14920","","","20","","0040","","0.02202","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0036101ML","","","4003005075","4003005075","7990","","","10","","0030","","0.0059","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243798JL","","","4002096651","4002096651","28380","","","10","","0030","","0.01077","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","08905100L","","","4002841144","4002841144","15450","","","20","","0040","","0.01009","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","08905100L","","","4002843308","4002843308","15970","","","20","","0040","","0.01009","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0036100KL","","","4002846083","4002846083","12680","","","10","","0030","","0.00554","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243930KL","","","4003108218","4003108218","14070","","","20","","0040","","0.01411","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","41475101L","","","4002102344","4002102344","3180","","","20","","0040","","0.02016","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","08175361F","","","4002413476","4002413476","6180","","","20","","0040","","0.01907","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0390786QL","","","4002659823","4002659823","58380","","","20","","0040","","0.00061","USD","HEAD","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0390786QL","","","4002659978","4002659978","61290","","","20","","0040","","0.00061","USD","HEAD","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0282787VF","","","4002697823","4002697823","28780","","","10","","0030","","0.00931","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","00275440L","","","4002228661","4002228661","6150","","","20","","0040","","0.00919","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","02435690L","","","4003105071","4003105071","28810","","","20","","0040","","0.01736","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262904JL","","","4003111950","4003111950","10340","","","20","","0040","","0.01522","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262904JL","","","4003111951","4003111951","15690","","","20","","0040","","0.01522","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","40506670F","","","4003054829","4003054829","188","","","20","","0040","","0.7315","USD","JTSM","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","4147907KL","","","4003038232","4003038232","7790","","","20","","0040","","0.04841","USD","GCHZ","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0223752YL","","","4003039471","4003039471","31650","","","10","","0030","","0.01599","USD","GCUT","","","","",""
